index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
518,9798,2080,3,7,2798,0
519,9782,2047,3,7,2782,0
520,10060,2179,3,7,3060,0
521,9895,2107,3,7,2895,0
522,8656,2101,2,6,2656,0
523,9938,2112,3,7,2938,0
524,8791,2170,2,6,2791,0
525,9986,2121,3,7,2986,0
526,10219,2173,4,8,2219,0
527,9950,2112,3,7,2950,0
528,8838,2190,3,6,2838,0
529,9911,2135,3,7,2911,0
530,10054,2129,3,8,2054,0
531,8508,2126,2,6,2508,0
532,8605,2127,2,6,2605,0
533,9843,2111,3,7,2843,0
534,9829,2012,3,7,2829,0
535,17716,2102,11,15,2716,0
536,9950,2141,3,7,2950,0
537,10032,2122,3,7,3032,0
538,10094,2107,3,7,3094,0
539,8795,2224,2,6,2795,0
540,9849,2118,3,7,2849,0
541,9919,2139,3,7,2919,0
542,9755,2027,3,7,2755,0
543,9892,2052,3,7,2892,0
544,8774,2122,2,6,2774,0
545,9845,2123,3,7,2845,0
546,9886,2144,3,7,2886,0
547,9921,2129,3,7,2921,0
548,9964,2124,3,7,2964,0
549,8668,2164,2,6,2668,0
550,9713,2012,3,7,2713,0
551,9991,2133,3,7,2991,0
552,11545,2133,5,9,2545,0
553,10334,2173,4,8,2334,0
554,10372,2137,4,8,2372,0
555,10525,2217,4,8,2525,0
556,10672,2243,5,8,2672,0
557,8798,2151,2,6,2798,0
558,9863,2085,3,7,2863,0
559,10020,2058,3,7,3020,0
560,10292,2190,3,8,2292,0
561,10201,2220,3,8,2201,0
562,9293,2191,4,7,2293,0
563,10473,2168,5,8,2473,0
564,10338,2336,4,8,2338,0
565,8853,2121,2,6,2853,0
566,11403,2145,6,9,2403,0
567,9243,2233,3,7,2243,0
568,10597,2404,4,8,2597,0
569,10085,2175,3,8,2085,0
570,10516,2132,5,8,2516,0
571,9004,2203,3,6,3004,0
572,9265,2190,3,7,2265,0
573,10734,2233,5,8,2734,0
574,9268,2198,4,7,2268,0
575,11563,2244,5,9,2563,0
576,10117,2150,3,8,2117,0
577,10719,2121,5,8,2719,0
578,10881,2352,5,8,2881,0
579,8872,2158,2,6,2872,0
580,10214,2213,3,8,2214,0
581,10075,2075,3,7,3075,0
582,10028,2144,3,7,3028,0
583,10108,2196,3,7,3108,0
