index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
456,74411,2502,37,40,34411,0
457,43054,2640,37,40,3054,0
458,43254,2790,37,40,3254,0
459,75601,2460,38,41,34601,0
460,43369,2694,37,41,2369,0
461,43063,33865,6,40,3063,0
462,74003,33732,37,71,3003,0
463,73750,2246,37,40,33750,0
464,43422,2535,37,40,3422,0
465,70209,2504,37,40,30209,0
466,30263,2784,24,27,3263,0
467,43488,2470,37,41,2488,0
468,74550,33772,37,71,3550,0
469,74556,2598,37,40,34556,0
470,43309,2738,37,40,3309,0
471,43031,2452,37,40,3031,0
472,73985,33564,37,71,2985,0
473,42527,2233,37,40,2527,0
474,43099,2305,37,40,3099,0
475,75175,33665,37,72,3175,0
476,73981,2478,37,40,33981,0
477,43234,2617,37,40,3234,0
478,74720,33827,6,40,34720,0
479,43121,2652,37,40,3121,0
480,42930,2341,37,40,2930,0
481,74531,33766,37,71,3531,0
482,74484,2519,37,40,34484,0
483,75977,4083,37,42,33977,0
484,43458,2629,37,40,3458,0
485,113306,39113,39,79,34306,0
486,43433,2623,37,40,3433,0
487,74643,33893,37,72,2643,0
488,43327,2516,37,40,3327,0
489,56362,34541,7,42,14362,0
490,15869,3313,9,13,2869,0
491,19489,10119,6,17,2489,0
492,26943,8157,15,24,2943,0
493,45481,3328,19,23,22481,0
494,22577,2500,6,9,13577,0
495,28191,2623,22,25,3191,0
496,22919,4900,13,18,4919,0
497,15544,3774,8,12,3544,0
498,20728,2379,6,9,11728,0
499,19961,2338,14,17,2961,0
500,18916,2524,12,16,2916,0
501,12932,2684,6,9,3932,0
502,53421,18231,6,25,28421,0
503,16565,2448,10,13,3565,0
504,16442,6463,6,12,4442,0
505,14959,2413,9,12,2959,0
506,17213,4856,8,14,3213,0
507,16087,2376,9,12,4087,0
508,15022,3194,8,12,3022,0
509,16503,4358,8,13,3503,0
510,14319,2702,8,11,3319,0
511,20505,11808,6,18,2505,0
512,15463,3881,8,13,2463,0
513,22564,2447,14,17,5564,0
514,12337,2392,6,9,3337,0
515,20584,2676,10,13,7584,0
516,16153,2359,10,13,3153,0
517,17520,3682,11,15,2520,0
518,17057,2664,7,10,7057,0
519,15332,2460,8,11,4332,0
520,17473,2425,12,15,2473,0
521,29974,13022,6,20,9974,0
522,12941,2661,7,10,2941,0
523,19015,6634,9,16,3015,0
524,14564,2464,8,11,3564,0
525,44521,4285,37,41,3521,0
526,42665,2312,37,40,2665,0
527,74163,33885,6,40,34163,0
528,43163,2528,37,40,3163,0
529,73506,33546,6,40,33506,0
530,42522,2513,37,40,2522,0
531,42758,2545,37,40,2758,0
532,74484,33965,6,40,34484,0
533,42730,2539,37,40,2730,0
534,42812,33600,6,40,2812,0
535,73841,33660,6,40,33841,0
536,18805,3050,13,16,2805,0
537,10819,2267,6,8,2819,0
538,11001,2260,6,8,3001,0
539,10892,2315,6,8,2892,0
540,10862,2251,6,8,2862,0
541,10981,2363,6,8,2981,0
542,10711,2319,5,8,2711,0
543,10990,2370,6,8,2990,0
544,10851,2242,6,8,2851,0
545,10859,2263,6,8,2859,0
546,11115,2452,6,8,3115,0
547,10927,2337,6,8,2927,0
548,11902,2351,6,9,2902,0
549,10925,2351,6,8,2925,0
550,10792,2351,5,8,2792,0
551,11097,2339,6,8,3097,0
552,10918,2313,6,8,2918,0
553,10787,2248,6,8,2787,0
554,10970,2285,6,8,2970,0
555,10744,2295,5,8,2744,0
556,10941,2235,6,8,2941,0
557,11081,2478,6,8,3081,0
558,10944,2406,6,8,2944,0
559,10924,2336,6,8,2924,0
560,10669,2216,5,8,2669,0
561,10926,2320,6,8,2926,0
562,10812,2251,6,8,2812,0
563,10905,2347,6,8,2905,0
564,10913,2264,6,8,2913,0
565,10948,2318,6,8,2948,0
566,11203,2294,6,8,3203,0
567,10882,2412,6,8,2882,0
568,11114,2323,6,8,3114,0
569,10829,2296,6,8,2829,0
570,10796,2218,6,8,2796,0
571,10764,2275,6,8,2764,0
572,10783,2233,6,8,2783,0
573,10816,2428,5,8,2816,0
574,10857,2318,6,8,2857,0
575,10703,2272,6,8,2703,0
576,10825,2295,6,8,2825,0
577,10753,2267,5,8,2753,0
578,10786,2302,6,8,2786,0
579,11037,2351,6,8,3037,0
580,10787,2338,6,8,2787,0
581,10856,2314,6,8,2856,0
582,11071,2363,5,8,3071,0
583,11090,2380,6,8,3090,0
584,17872,6967,8,15,2872,0
585,11211,2387,6,8,3211,0
586,11121,2309,6,8,3121,0
587,11068,2333,6,8,3068,0
588,11283,2309,6,8,3283,0
589,11271,2381,6,8,3271,0
590,11431,2411,6,9,2431,0
591,11395,2428,6,9,2395,0
592,11240,2399,6,8,3240,0
593,11436,2343,6,8,3436,0
594,11263,2456,6,8,3263,0
595,11287,2449,6,9,2287,0
596,10838,2258,6,8,2838,0
597,11047,2271,6,8,3047,0
598,10930,2327,6,8,2930,0
599,11116,2363,6,8,3116,0
600,10890,2285,6,8,2890,0
601,10971,2254,6,8,2971,0
602,10868,2399,5,8,2868,0
603,10412,2182,4,8,2412,0
604,10507,2153,5,8,2507,0
605,11021,2324,6,8,3021,0
606,10673,2253,6,8,2673,0
607,11016,2302,6,8,3016,0
608,10989,2201,6,8,2989,0
609,10828,2311,5,8,2828,0
610,10804,2286,6,8,2804,0
611,10905,2478,5,8,2905,0
612,10999,2385,6,8,2999,0
613,10829,2216,6,8,2829,0
614,11016,2375,5,8,3016,0
615,10656,2251,6,8,2656,0
616,14822,4599,5,10,4822,0
617,10627,2190,5,8,2627,0
618,10523,2157,5,8,2523,0
619,11185,2360,6,8,3185,0
620,11552,2834,6,9,2552,0
621,10895,2394,6,8,2895,0
622,13148,2536,7,10,3148,0
623,11114,2357,5,8,3114,0
624,11358,2537,6,9,2358,0
625,10979,2406,5,8,2979,0
626,11277,2340,6,8,3277,0
627,10778,2259,6,8,2778,0
628,11280,2647,6,8,3280,0
629,11096,2367,6,8,3096,0
630,10645,2285,5,8,2645,0
631,10645,2284,6,8,2645,0
632,10539,2169,6,8,2539,0
633,10723,2395,5,8,2723,0
634,17930,2228,12,15,2930,0
635,10496,2226,4,8,2496,0
636,10172,2159,4,8,2172,0
637,10492,2193,6,8,2492,0
638,10804,2228,6,8,2804,0
639,10932,2286,6,8,2932,0
640,10979,2299,6,8,2979,0
641,11049,2345,6,8,3049,0
642,14610,2360,9,12,2610,0
643,10931,2390,6,8,2931,0
644,10809,2455,5,8,2809,0
645,10694,2259,5,8,2694,0
646,11131,2390,6,8,3131,0
647,10962,2264,6,8,2962,0
648,11677,2336,6,9,2677,0
649,10932,2335,6,8,2932,0
650,11155,2300,6,8,3155,0
651,11118,2324,6,8,3118,0
652,10770,2256,5,8,2770,0
653,10893,2360,6,8,2893,0
654,11107,2317,6,8,3107,0
655,11076,2278,6,8,3076,0
656,11408,2399,6,9,2408,0
657,10716,2314,5,8,2716,0
658,11146,2407,6,8,3146,0
659,10460,2151,5,8,2460,0
660,10223,2135,5,8,2223,0
661,9999,2176,3,7,2999,0
662,10040,2161,3,7,3040,0
663,9812,2079,3,7,2812,0
664,9973,2120,3,7,2973,0
665,10109,2176,3,7,3109,0
666,9886,2101,3,7,2886,0
667,9938,2116,3,7,2938,0
668,9911,2062,3,7,2911,0
669,10200,2194,4,8,2200,0
670,10083,2210,3,8,2083,0
671,10188,2148,4,8,2188,0
672,10035,2140,3,7,3035,0
673,10167,2229,3,8,2167,0
674,9874,2086,3,7,2874,0
675,9932,2063,3,7,2932,0
676,9866,2071,3,7,2866,0
677,9937,2137,3,7,2937,0
678,9868,2095,3,7,2868,0
679,10049,2235,3,8,2049,0
680,9942,2136,3,7,2942,0
681,9756,2044,3,7,2756,0
682,9779,2096,3,7,2779,0
683,9760,2048,3,7,2760,0
684,10072,2275,3,8,2072,0
685,9989,2130,3,7,2989,0
686,9889,2046,3,7,2889,0
687,9881,2147,3,7,2881,0
688,17356,2121,11,15,2356,0
689,10012,2151,3,7,3012,0
690,9847,2051,3,7,2847,0
691,9895,2190,3,7,2895,0
692,9887,2108,3,7,2887,0
693,10035,2175,3,7,3035,0
694,10278,2038,5,8,2278,0
695,9866,2061,3,7,2866,0
696,10048,2051,4,7,3048,0
697,10005,2116,4,7,3005,0
698,10002,2198,3,7,3002,0
699,10171,2253,3,8,2171,0
700,10328,2264,4,8,2328,0
701,10528,2158,5,8,2528,0
702,10488,2155,5,8,2488,0
703,10599,2225,4,8,2599,0
704,11013,2436,5,8,3013,0
705,10601,2262,5,8,2601,0
706,10464,2162,4,8,2464,0
707,10923,2280,6,8,2923,0
708,10820,2385,6,8,2820,0
709,10611,2283,4,8,2611,0
710,10478,2231,4,8,2478,0
711,10767,2406,5,8,2767,0
712,10686,2233,6,8,2686,0
713,10164,2136,4,8,2164,0
714,10351,2206,4,8,2351,0
715,10716,2189,6,8,2716,0
716,10467,2200,5,8,2467,0
717,10386,2221,5,8,2386,0
718,10474,2278,5,8,2474,0
719,10310,2131,4,8,2310,0
720,10357,2210,4,8,2357,0
721,10904,2265,6,8,2904,0
722,10510,2319,5,8,2510,0
723,10717,2315,6,8,2717,0
724,10744,2322,5,8,2744,0
725,10765,2369,5,8,2765,0
726,10663,2339,4,8,2663,0
