index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
445,41241,2674,31,37,4241,2
446,30738,3930,7,27,3738,15
447,29163,3794,10,25,4163,10
448,31431,2607,19,28,3431,5
449,28379,3864,8,26,2379,12
450,30694,2468,11,28,2694,13
451,31211,3388,16,28,3211,8
452,18321,2309,6,14,4321,4
453,29383,2321,12,25,4383,9
454,29071,10111,8,26,3071,6
455,31384,2402,13,28,3384,12
456,19368,2330,11,17,2368,3
457,30241,2333,18,27,3241,6
458,25232,2406,16,22,3232,3
459,20667,2416,10,17,3667,3
460,29791,3726,14,23,6791,4
461,27199,2439,14,24,3199,7
462,24227,2420,14,21,3227,4
463,37791,2388,19,35,2791,11
464,31600,2350,11,29,2600,13
465,30225,2671,19,27,3225,5
466,16868,2537,6,13,3868,3
467,29039,2436,16,26,3039,7
468,18345,2370,6,12,6345,2
469,28121,2463,13,25,3121,8
470,19043,2389,9,16,3043,3
471,27497,2501,12,25,2497,9
472,31650,2337,14,29,2650,11
473,19707,2297,9,15,4707,3
474,32484,2432,15,24,8484,5
475,25255,2728,11,22,3255,7
476,21992,2346,12,18,3992,2
477,27519,3635,13,23,4519,5
478,28371,2974,11,26,2371,10
479,30933,2288,14,28,2933,11
480,17562,2269,7,15,2562,4
481,29005,2251,14,26,3005,8
482,30072,2499,13,27,3072,11
483,31496,7203,13,29,2496,8
484,31232,3632,8,28,3232,15
485,30873,2489,16,28,2873,9
486,30293,2972,14,28,2293,10
487,23170,3919,12,19,4170,1
488,36073,2363,17,21,15073,1
489,34964,2438,17,32,2964,11
490,24619,2121,4,13,11619,5
491,34723,2505,17,32,2723,11
492,66977,2917,29,47,19977,14
493,29033,3602,14,26,3033,7
494,24354,3915,14,20,4354,2
495,28228,2554,14,20,8228,3
496,24231,2400,6,21,3231,12
497,33489,2658,13,29,4489,12
498,35433,3068,17,27,8433,5
499,25767,2367,14,23,2767,6
500,20327,3077,13,18,2327,1
501,39630,15753,6,37,2630,14
502,32042,2489,14,28,4042,10
503,29757,2405,16,27,2757,7
504,63407,8795,37,60,3407,13
505,62755,3128,32,43,19755,6
506,44724,2286,37,42,2724,2
507,80137,2628,38,46,34137,5
508,58757,2434,26,42,16757,13
509,34084,2241,22,31,3084,6
510,34851,2559,18,27,7851,6
511,25664,2249,12,23,2664,6
512,17624,2161,6,13,4624,4
513,29054,3123,10,26,3054,12
514,17687,2172,8,13,4687,1
515,18901,2425,9,15,3901,2
516,25724,9024,6,23,2724,7
517,31371,2355,11,29,2371,14
518,15423,2385,5,13,2423,4
519,16074,2525,8,13,3074,0
520,20601,2964,7,13,7601,1
521,26047,2377,11,23,3047,9
522,15500,2200,6,13,2500,4
523,31032,2225,11,28,3032,14
524,17179,2429,8,13,4179,0
525,17897,4222,8,15,2897,1
526,26709,2820,11,24,2709,10
527,30268,2153,11,28,2268,13
528,15831,2178,6,13,2831,3
529,32926,2394,11,29,3926,14
530,28634,3495,6,26,2634,14
531,42974,2546,19,28,14974,5
532,23884,2490,17,21,2884,0
533,40835,21735,5,38,2835,9
534,31444,3078,15,29,2444,9
535,30304,2203,14,28,2304,11
536,18769,2212,9,16,2769,3
537,27520,2267,10,25,2520,11
538,30607,2228,10,28,2607,15
539,15604,2331,6,13,2604,4
540,31067,2233,10,28,3067,15
541,17559,2237,7,14,3559,4
542,28350,3193,11,26,2350,10
543,30765,2244,10,28,2765,14
544,15657,2258,6,13,2657,3
545,30158,9659,5,27,3158,11
546,15779,2229,9,13,2779,0
547,31217,3111,10,29,2217,15
548,30913,2301,10,28,2913,15
549,18176,2142,7,14,4176,5
550,28133,3557,10,25,3133,11
551,15489,2462,5,13,2489,4
552,31090,2279,10,28,3090,15
553,30875,2339,9,28,2875,15
554,31698,2275,11,29,2698,14
555,17411,4121,8,15,2411,2
556,29600,3476,9,27,2600,13
557,15176,2825,6,12,3176,1
558,20540,5127,10,18,2540,1
559,26183,2128,11,23,3183,10
560,30641,2325,9,28,2641,15
561,17063,2305,7,14,3063,4
562,29501,2182,13,27,2501,11
563,31024,2414,10,28,3024,15
564,14893,2402,5,12,2893,3
565,30133,2091,11,28,2133,13
566,15117,2432,5,12,3117,4
567,30126,2328,11,27,3126,12
568,30753,2333,11,28,2753,13
569,16734,2358,5,13,3734,4
570,28942,3530,11,26,2942,11
571,16920,2218,7,14,2920,4
572,30588,2357,9,27,3588,14
573,16629,3632,7,14,2629,2
574,30487,2322,14,27,3487,9
575,29726,3509,11,27,2726,11
576,19447,3458,11,17,2447,1
577,27968,2254,12,25,2968,9
578,30357,2296,14,28,2357,10
579,20062,3339,12,17,3062,0
580,41754,2325,25,39,2754,11
581,30959,2484,21,28,2959,4
582,46638,29942,6,44,2638,6
583,30582,2519,13,28,2582,12
584,31408,2563,10,29,2408,15
585,18149,2271,8,14,4149,4
586,27958,3067,12,25,2958,9
587,31052,2549,10,28,3052,15
588,33003,2491,13,29,4003,12
589,29519,2220,11,27,2519,13
590,16959,2342,7,14,2959,4
591,30593,2575,14,28,2593,10
592,30036,2398,15,27,3036,8
593,19679,2273,6,12,7679,3
594,26279,2432,6,23,3279,14
595,51883,2827,33,49,2883,11
596,29126,2460,14,22,7126,4
597,25620,2789,11,23,2620,7
598,15743,2378,5,13,2743,4
599,22085,4373,12,19,3085,1
600,30024,2588,16,22,8024,1
601,25216,2226,13,22,3216,6
602,18038,4657,5,12,6038,1
603,59856,2334,14,26,33856,7
604,47116,2484,37,43,4116,3
605,24026,5137,14,20,4026,0
606,23918,3149,11,18,5918,3
607,26904,2287,13,24,2904,8
608,17866,2320,7,15,2866,5
609,30158,2144,14,27,3158,10
610,30765,2253,12,28,2765,13
611,32148,2560,10,29,3148,14
612,17616,2167,8,15,2616,3
613,28706,2309,11,26,2706,12
614,30936,2551,13,28,2936,12
615,16617,2124,6,14,2617,5
616,30841,2251,14,28,2841,10
617,29753,2619,14,27,2753,9
618,30453,3576,8,28,2453,15
619,31079,2462,13,28,3079,12
620,15444,2610,5,12,3444,3
621,30141,2473,10,27,3141,14
622,31846,2338,10,29,2846,15
623,14377,2351,5,12,2377,3
624,31767,2371,11,29,2767,14
625,22011,2285,11,18,4011,3
626,22870,3175,11,20,2870,4
627,21682,3085,11,19,2682,4
628,27620,2207,13,23,4620,7
629,29893,7631,17,27,2893,1
630,30134,6294,6,27,3134,13
631,46974,2359,19,33,13974,9
632,17143,2308,7,14,3143,3
633,27935,2633,10,25,2935,11
634,15957,2394,5,13,2957,4
635,30744,2565,10,28,2744,14
636,30615,2292,10,28,2615,14
637,17940,2423,8,15,2940,3
638,31306,2196,16,26,5306,6
639,30654,2319,17,25,5654,4
640,17611,2710,9,15,2611,1
641,42098,2918,20,39,3098,15
642,30256,2564,12,27,3256,11
643,16109,2346,6,13,3109,4
644,30954,2880,16,28,2954,9
645,30543,2563,12,28,2543,13
646,32271,2558,13,29,3271,13
647,36067,2186,13,30,6067,14
648,29564,8651,7,25,4564,7
649,35056,7419,6,26,9056,11
650,24688,3977,8,22,2688,8
651,19375,2293,6,13,6375,4
652,29860,2368,13,27,2860,10
653,30485,2665,12,28,2485,12
654,16281,2316,5,14,2281,5
655,31852,2283,11,29,2852,14
656,30841,2330,9,28,2841,15
657,32190,2541,11,29,3190,15
658,16636,2453,5,13,3636,4
659,30010,3153,11,27,3010,11
660,16289,2206,6,13,3289,4
661,24014,2221,12,15,9014,0
662,28585,3271,13,19,9585,1
663,31120,3540,20,27,4120,2
664,26159,2574,12,21,5159,5
665,28606,2547,16,25,3606,5
666,33384,3228,13,29,4384,11
667,33095,2582,14,29,4095,11
668,40779,7264,15,38,2779,14
669,31894,2515,11,29,2894,14
670,16102,2292,6,13,3102,4
671,31235,2416,12,28,3235,13
672,30991,2370,9,28,2991,15
673,15550,2440,5,11,4550,2
674,29924,3021,13,27,2924,10
675,17479,2176,6,13,4479,4
676,16564,2561,7,13,3564,2
677,28177,2331,10,25,3177,11
678,30793,2556,10,28,2793,14
679,31261,2451,13,28,3261,12
680,16851,2481,8,14,2851,2
681,28020,2543,11,25,3020,11
682,38753,2305,12,30,8753,14
683,25995,4819,11,21,4995,3
684,29183,2466,11,26,3183,11
685,17249,2527,8,14,3249,3
686,29559,11039,5,26,3559,9
687,30293,2727,11,28,2293,12
688,15221,2381,6,12,3221,3
689,31311,2421,11,29,2311,14
690,16714,2459,7,14,2714,3
691,23410,2322,12,15,8410,0
692,36352,2283,15,34,2352,15
693,31724,2394,13,29,2724,11
694,23807,2589,15,21,2807,2
695,21672,2705,6,19,2672,9
696,16800,2420,7,14,2800,3
697,28635,2333,12,26,2635,10
698,15454,2167,5,13,2454,4
699,31123,2222,11,28,3123,14
700,30492,3913,8,28,2492,14
701,29907,9784,6,27,2907,11
702,32377,2279,12,30,2377,14
703,22284,2437,13,19,3284,2
704,36442,2522,15,22,14442,3
705,35096,2541,16,32,3096,13
706,19523,2275,10,17,2523,4
707,33112,2321,17,25,8112,4
708,25971,2647,13,22,3971,6
709,14726,2591,6,12,2726,2
710,16131,3863,5,13,3131,3
711,29921,2224,10,27,2921,13
712,31934,2634,9,29,2934,16
713,16837,2445,6,13,3837,3
714,29567,2415,9,27,2567,14
715,16412,2845,8,13,3412,1
716,18123,4356,9,15,3123,1
717,27461,2327,11,25,2461,10
718,30843,2687,11,28,2843,13
719,19453,2282,10,16,3453,3
720,27462,2344,12,25,2462,9
721,16337,2412,7,14,2337,3
722,26910,2446,19,23,3910,0
723,33614,2510,16,31,2614,11
724,31220,2349,11,29,2220,14
725,15120,2431,6,12,3120,3
726,15747,2231,5,13,2747,4
727,30974,2444,13,28,2974,12
728,31285,2417,11,29,2285,14
729,18508,2282,7,14,4508,4
730,28590,2677,14,26,2590,7
731,31907,2294,15,29,2907,11
732,16520,2376,7,13,3520,3
733,29665,2448,13,27,2665,11
734,31070,2361,11,28,3070,13
735,17823,2177,7,15,2823,4
736,27958,2466,13,25,2958,8
737,30763,2467,13,28,2763,11
738,31335,2625,11,29,2335,14
739,15996,2353,7,13,2996,3
740,31321,2293,12,29,2321,13
741,16653,2407,6,13,3653,4
742,29941,2518,10,27,2941,13
743,16663,3424,6,12,4663,2
744,30739,2635,10,28,2739,13
745,29228,2548,11,27,2228,12
746,17600,2239,6,12,5600,4
747,15795,2609,7,13,2795,1
748,29736,2659,11,27,2736,12
749,15966,2359,7,13,2966,3
750,28258,3569,10,25,3258,11
751,16592,2381,6,14,2592,4
752,30922,2725,12,28,2922,12
753,48274,2353,26,45,3274,15
754,31021,2564,10,28,3021,14
755,36863,7621,11,33,3863,13
756,24892,2503,15,21,3892,3
757,56259,23107,18,53,3259,11
758,35487,2508,14,33,2487,15
759,30882,3881,8,28,2882,15
760,32145,10682,7,29,3145,11
761,75287,2549,37,43,32287,1
762,50129,2717,38,47,3129,4
763,75960,29666,6,42,33960,6
764,32443,2616,16,28,4443,8
765,28182,3977,17,25,3182,4
766,17098,2301,6,13,4098,3
767,28821,3898,11,26,2821,9
768,17574,2761,8,14,3574,2
769,28668,2609,12,26,2668,10
770,32085,2389,13,29,3085,12
771,46146,2730,31,43,3146,8
772,21784,2659,11,18,3784,3
773,28502,2572,15,23,5502,5
774,66204,2749,37,57,9204,15
775,13123,2665,6,10,3123,0
776,26403,2488,10,24,2403,10
777,16424,2415,6,13,3424,3
778,36225,2578,13,28,8225,11
779,43500,3473,22,40,3500,13
780,27940,6546,6,25,2940,11
781,40140,3271,16,28,12140,7
782,40486,2689,25,37,3486,9
783,27851,2671,12,25,2851,9
784,32162,2654,14,29,3162,10
785,16985,2644,7,14,2985,2
786,29828,2676,12,27,2828,10
787,29785,2483,12,27,2785,12
788,20825,2664,10,17,3825,2
789,31722,13166,14,29,2722,0
790,25718,2581,13,23,2718,6
791,77967,33735,37,75,2967,3
792,45753,2745,25,43,2753,14
793,19535,2506,9,16,3535,2
794,28012,9233,6,24,4012,8
795,30522,2568,12,28,2522,11
796,17528,2737,6,13,4528,2
