elapsed_s,rss_bytes,private_bytes,cpu_s
517.655,18268160,6295552,17.25
518.675,18268160,6295552,17.265625
519.693,18268160,6295552,17.328125
520.712,18268160,6295552,17.359375
521.731,18268160,6295552,17.359375
522.752,18268160,6295552,17.390625
523.771,18268160,6295552,17.40625
524.783,18268160,6295552,17.40625
525.798,18268160,6295552,17.40625
526.814,18268160,6295552,17.4375
527.827,18268160,6295552,17.46875
528.838,18268160,6295552,17.46875
529.856,18268160,6295552,17.484375
530.876,18268160,6295552,17.484375
531.957,18268160,6295552,17.484375
532.972,18268160,6295552,17.5
533.986,18268160,6295552,17.515625
535.006,18268160,6295552,17.546875
536.021,18268160,6295552,17.546875
537.038,18268160,6295552,17.546875
538.051,18268160,6295552,17.5625
539.066,18268160,6295552,17.578125
540.082,18268160,6295552,17.59375
541.094,18268160,6295552,17.609375
542.113,18268160,6295552,17.609375
543.128,18268160,6295552,17.625
544.142,18268160,6295552,17.625
545.156,18268160,6295552,17.65625
546.171,18268160,6295552,17.671875
547.183,18268160,6295552,17.71875
548.203,18268160,6295552,17.765625
549.217,18268160,6295552,17.78125
550.231,18268160,6295552,17.78125
551.252,18268160,6295552,17.78125
552.27,18268160,6295552,17.828125
553.285,18268160,6295552,17.84375
554.299,18268160,6295552,17.84375
555.317,18268160,6295552,17.875
556.335,18268160,6295552,17.890625
557.35,18268160,6295552,17.90625
558.359,18268160,6295552,17.921875
559.369,18268160,6295552,17.953125
560.378,18268160,6295552,17.984375
561.393,18268160,6295552,18
562.407,18268160,6295552,18.09375
563.418,18268160,6295552,18.125
564.43,18268160,6295552,18.15625
565.441,18268160,6295552,18.1875
566.452,18268160,6295552,18.25
567.466,18268160,6295552,18.265625
568.481,18268160,6295552,18.3125
569.492,18268160,6295552,18.34375
570.51,18268160,6295552,18.375
571.525,18268160,6295552,18.46875
572.541,18268160,6295552,18.5
573.551,18268160,6295552,18.515625
574.563,18268160,6295552,18.53125
575.593,18268160,6295552,18.5625
576.605,18268160,6295552,18.625
577.618,18268160,6295552,18.65625
578.641,18268160,6295552,18.65625
579.653,18268160,6295552,18.6875
580.662,18268160,6295552,18.71875
581.671,18268160,6295552,18.734375
582.697,18268160,6295552,18.734375
583.709,18268160,6295552,18.734375
584.721,18268160,6295552,18.75
585.73,18268160,6295552,18.75
586.743,18292736,6320128,18.78125
587.754,18292736,6320128,18.859375
588.768,18292736,6320128,18.875
589.781,18292736,6320128,18.9375
590.795,18292736,6320128,18.96875
591.811,18292736,6320128,19.015625
592.826,18292736,6320128,19.03125
593.837,18292736,6320128,19.09375
594.852,18292736,6320128,19.1875
595.868,18292736,6320128,19.265625
596.893,18292736,6320128,19.296875
