index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
716,15598,2054,4,13,2598,5
717,15144,2072,3,13,2144,5
718,14830,2152,3,12,2830,4
719,15670,2082,4,13,2670,5
720,15961,2208,3,13,2961,5
721,14819,2362,4,12,2819,4
722,15750,2118,3,13,2750,5
723,15583,2051,3,13,2583,5
724,15913,2098,3,13,2913,5
725,14909,2102,3,12,2909,4
726,15181,2099,3,13,2181,5
727,15474,2105,3,13,2474,5
728,14987,2047,3,12,2987,5
729,15692,2027,3,13,2692,5
730,15567,2081,3,13,2567,5
731,15476,2124,3,13,2476,5
732,15600,2020,4,13,2600,5
733,15456,2175,3,13,2456,5
734,14724,2022,3,12,2724,5
735,15628,2164,3,13,2628,5
736,15918,2112,3,13,2918,6
737,19883,2070,4,13,6883,5
738,26512,3837,4,24,2512,14
739,15383,2113,4,13,2383,5
740,15755,2067,3,13,2755,5
741,15402,2172,4,13,2402,5
742,15957,2185,3,13,2957,5
743,14992,2077,3,12,2992,4
744,15160,2174,3,13,2160,4
745,15415,2199,4,13,2415,5
746,14908,2141,3,12,2908,4
747,16139,2166,4,14,2139,5
748,16096,2118,4,13,3096,5
749,15090,2087,4,13,2090,4
750,15255,2179,4,13,2255,5
751,9942,2090,3,7,2942,0
752,9979,2118,3,7,2979,0
753,10806,2041,4,8,2806,0
754,14984,2100,3,12,2984,4
755,15246,2113,4,13,2246,5
756,15311,2131,3,13,2311,5
757,16052,2074,4,13,3052,5
758,15112,2173,4,12,3112,4
759,15837,2190,3,13,2837,5
760,16114,2156,3,13,3114,5
761,15958,2099,3,13,2958,5
762,15969,2106,3,13,2969,5
763,14726,2131,4,12,2726,4
764,16072,2144,3,13,3072,5
765,15592,2240,3,13,2592,5
766,16062,2062,4,13,3062,6
767,15881,2138,4,13,2881,5
768,14743,2245,4,12,2743,4
769,14723,2111,4,12,2723,4
770,15796,2114,4,13,2796,5
771,15256,2145,5,13,2256,4
772,15552,2274,5,13,2552,5
773,15120,2165,4,12,3120,4
774,15548,2114,4,13,2548,5
775,15903,2151,3,13,2903,5
776,14888,2164,4,12,2888,4
777,15111,2183,4,12,3111,4
778,15303,2171,3,13,2303,5
779,16293,2125,5,14,2293,5
780,16168,2112,5,13,3168,5
781,15248,2393,5,13,2248,4
782,15045,2107,4,12,3045,4
783,15820,2104,6,13,2820,5
784,16265,2096,6,14,2265,5
785,15169,2246,6,12,3169,4
786,32076,2246,14,29,3076,12
787,14138,2297,5,11,3138,3
788,15953,2192,4,13,2953,5
789,14519,2321,4,12,2519,4
790,16380,2080,5,14,2380,5
791,15426,2153,4,13,2426,5
792,14820,2199,4,12,2820,4
793,15729,2127,4,13,2729,5
794,14912,2254,4,12,2912,4
795,14948,2121,6,12,2948,4
796,14812,2216,4,12,2812,4
797,15276,2110,4,13,2276,5
798,14988,2232,4,12,2988,4
799,15521,2158,4,13,2521,5
800,14722,2156,4,12,2722,4
801,15458,2104,4,13,2458,5
802,15056,2190,5,12,3056,4
803,16057,2212,4,13,3057,5
804,14945,2267,3,12,2945,4
805,15582,2235,5,13,2582,5
806,15863,2153,5,13,2863,5
807,15003,2151,3,12,3003,4
